,auroc,auprc,fpr95,id_acc
WebBased,0.8672084026600868,0.42625860243627056,0.34226357584021816,0.9544397208630785
Spoofing,0.9323660335727264,0.7923564718650228,0.2125984251968504,0.9424591156874621
Recon,0.6781914424158518,0.32689960917855654,0.7325430475036774,0.9700614346283638
Mirai,0.9880741974560872,0.8975270204819569,0.0183438608635459,0.9293934412044649
Dos,0.6035937094401661,0.29096083358730834,0.5137146318248681,0.9296530241412131
DDos,0.9723103097689713,0.7936163098916099,0.027342736004153326,0.9094055550748464
BruteForce,0.9351149920743068,0.3854556910013562,0.2478227654698243,0.9200916730328496
AVERAGE,0.8538370124840281,0.5590106483488687,0.29923272038616255,0.9365005663760396
